,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,album_name,popularity
223,0.813,0.671,11,-6.84,1,0.0343,0.00642,0.0,0.276,0.62,128.02,audio_features,3dY2OHsFFN0oWYgJbrxsxl,spotify:track:3dY2OHsFFN0oWYgJbrxsxl,https://api.spotify.com/v1/tracks/3dY2OHsFFN0oWYgJbrxsxl,https://api.spotify.com/v1/audio-analysis/3dY2OHsFFN0oWYgJbrxsxl,198156,4,Madden,Totally (feat. Jon Eyden),Totally (feat. Jon Eyden),56
224,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039,audio_features,4wNIkl5XGiAACjFBlDWuSd,spotify:track:4wNIkl5XGiAACjFBlDWuSd,https://api.spotify.com/v1/tracks/4wNIkl5XGiAACjFBlDWuSd,https://api.spotify.com/v1/audio-analysis/4wNIkl5XGiAACjFBlDWuSd,180645,4,Jonas Brothers,What A Man Gotta Do,What A Man Gotta Do,82
225,0.901,0.654,10,-10.15,1,0.0655,0.2,0.0,0.165,0.781,110.131,audio_features,2ZqT3GcisHUBsEaqhLGHwU,spotify:track:2ZqT3GcisHUBsEaqhLGHwU,https://api.spotify.com/v1/tracks/2ZqT3GcisHUBsEaqhLGHwU,https://api.spotify.com/v1/audio-analysis/2ZqT3GcisHUBsEaqhLGHwU,180240,4,Matthew Wilder,Break My Stride,'80s Pop Hits,62
226,0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.651,107.356,audio_features,0qc4QlcCxVTGyShurEv1UU,spotify:track:0qc4QlcCxVTGyShurEv1UU,https://api.spotify.com/v1/tracks/0qc4QlcCxVTGyShurEv1UU,https://api.spotify.com/v1/audio-analysis/0qc4QlcCxVTGyShurEv1UU,174444,4,Sam Feldt,Post Malone (feat. RANI),Magnets EP,79
227,0.458,0.512,2,-11.08,1,0.0551,0.734,0.0184,0.0922,0.365,100.009,audio_features,4v50THJgMM8eBDEw7HQ3Ij,spotify:track:4v50THJgMM8eBDEw7HQ3Ij,https://api.spotify.com/v1/tracks/4v50THJgMM8eBDEw7HQ3Ij,https://api.spotify.com/v1/audio-analysis/4v50THJgMM8eBDEw7HQ3Ij,256393,4,The Brook & The Bluff,Pastels,First Place,47
228,0.477,0.511,0,-8.843,1,0.0734,0.638,2.57e-05,0.103,0.488,178.35,audio_features,5HsJGA8P5fPzR06i9FQKBr,spotify:track:5HsJGA8P5fPzR06i9FQKBr,https://api.spotify.com/v1/tracks/5HsJGA8P5fPzR06i9FQKBr,https://api.spotify.com/v1/audio-analysis/5HsJGA8P5fPzR06i9FQKBr,235025,4,The Brook & The Bluff,Halfway Up,First Place,60
229,0.385,0.871,0,-4.604,0,0.0795,0.00906,0.0,0.579,0.538,189.76,audio_features,1OfLNb6dQ9dra1B58iT9Ex,spotify:track:1OfLNb6dQ9dra1B58iT9Ex,https://api.spotify.com/v1/tracks/1OfLNb6dQ9dra1B58iT9Ex,https://api.spotify.com/v1/audio-analysis/1OfLNb6dQ9dra1B58iT9Ex,234858,4,Halsey,3am,Manic,65
230,0.797,0.517,10,-8.579,1,0.0354,0.378,0.0,0.149,0.418,130.016,audio_features,6pnwnZdirHWOYoBlImelJj,spotify:track:6pnwnZdirHWOYoBlImelJj,https://api.spotify.com/v1/tracks/6pnwnZdirHWOYoBlImelJj,https://api.spotify.com/v1/audio-analysis/6pnwnZdirHWOYoBlImelJj,182308,4,Jackson Breit,Nothing But Love,Nothing But Love,24
231,0.75,0.835,4,-7.882,1,0.152,0.304,0.0,0.165,0.496,127.026,audio_features,2LuNcUbUFsbonNN1auTHvO,spotify:track:2LuNcUbUFsbonNN1auTHvO,https://api.spotify.com/v1/tracks/2LuNcUbUFsbonNN1auTHvO,https://api.spotify.com/v1/audio-analysis/2LuNcUbUFsbonNN1auTHvO,229588,4,Rob Curly,Eleven 11: / 11,Eleven,30
232,0.583,0.075,5,-15.843,1,0.0726,0.933,1.4e-06,0.111,0.347,108.418,audio_features,6r2JV75tE0vNgNCv4HKsBC,spotify:track:6r2JV75tE0vNgNCv4HKsBC,https://api.spotify.com/v1/tracks/6r2JV75tE0vNgNCv4HKsBC,https://api.spotify.com/v1/audio-analysis/6r2JV75tE0vNgNCv4HKsBC,207520,4,Jeremy Zucker,scared,brent,72
233,0.546,0.602,5,-5.714,1,0.034,0.0565,0.000369,0.137,0.103,135.014,audio_features,6whEouBFLVPdEptbqXoW8c,spotify:track:6whEouBFLVPdEptbqXoW8c,https://api.spotify.com/v1/tracks/6whEouBFLVPdEptbqXoW8c,https://api.spotify.com/v1/audio-analysis/6whEouBFLVPdEptbqXoW8c,330667,4,Kaivon,May We Meet Again,May We Meet Again,40
234,0.641,0.447,6,-5.893,0,0.0668,0.104,1.12e-06,0.0943,0.352,100.976,audio_features,0ts61Ufav0d4yyT3SLzF1q,spotify:track:0ts61Ufav0d4yyT3SLzF1q,https://api.spotify.com/v1/tracks/0ts61Ufav0d4yyT3SLzF1q,https://api.spotify.com/v1/audio-analysis/0ts61Ufav0d4yyT3SLzF1q,213373,4,SHAED,ISOU,ISOU / Thunder,42
